pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k,Rel_soil_fertility_category
39883092,3,3,0,0,1,2,0,0,1
39883120,2,2,0,0,1,3,1,0,1
39903096,3,3,1,1,0,3,1,0,1
39943122,0,0,0,1,0,0,0,0,0
39963136,1,1,1,0,1,3,0,0,0
40003082,3,3,1,0,0,3,0,1,1
40083088,3,3,1,0,1,2,0,1,1
40163108,0,0,0,0,0,1,0,0,0
40163114,0,0,0,1,0,1,1,0,0
38583130,3,3,1,1,2,3,2,2,1
38663098,3,3,1,1,0,3,1,0,1
38683122,3,3,0,0,2,3,0,1,1
38703124,2,2,0,0,2,3,0,0,1
38743106,3,3,1,0,2,3,0,1,1
38743146,3,3,0,0,2,3,0,0,1
38763094,3,3,0,0,2,1,0,0,1
38803102,3,3,0,0,2,3,0,1,1
38803134,2,2,0,0,2,2,0,0,1
38883110,3,3,0,0,2,2,0,0,1
38883118,1,1,0,0,2,2,0,0,0
38903114,2,2,0,0,2,2,1,0,1
38943130,2,2,0,0,2,3,0,0,1
38983092,2,2,0,0,2,1,0,1,1
38983116,3,3,0,0,2,3,0,0,1
39063124,2,2,0,0,2,3,0,0,1
39123144,2,2,0,1,2,3,1,1,1
39023088,3,3,1,0,0,1,0,1,1
39083090,3,3,0,0,2,2,0,0,1
39123108,2,2,1,0,2,2,0,1,1
39183118,2,2,1,0,2,2,0,1,1
39203112,2,2,0,0,2,1,0,0,1
39263086,0,0,0,1,0,2,0,0,0
39303086,0,0,0,1,0,0,1,0,0
39423106,2,3,0,0,1,1,0,0,1
39563098,3,3,0,0,0,3,0,0,1
39563112,1,1,0,0,1,2,1,0,0
39623104,1,1,0,1,0,0,1,1,0
39703092,3,3,0,0,0,2,0,1,1
39743088,3,3,0,0,1,3,0,1,1
39743098,3,3,0,0,1,3,0,1,1
39803096,3,3,1,0,0,3,1,2,1
38043130,4,4,0,0,0,1,0,0,2
38083120,3,3,0,0,2,3,0,1,1
38083128,3,4,0,0,0,3,0,1,1
38103106,3,3,0,0,2,1,0,0,1
38143104,3,3,0,0,2,1,0,0,1
38183132,3,3,1,1,2,3,1,1,1
38203100,3,3,1,0,2,1,0,1,1
38203142,4,4,0,0,0,1,1,2,2
38223144,4,4,1,0,2,1,0,1,2
38263134,2,2,0,0,2,2,0,0,1
38383124,3,3,0,0,2,3,0,0,1
38403112,3,3,1,0,2,3,0,1,1
38443098,1,2,0,0,0,2,0,0,0
38463096,3,3,0,0,0,2,0,0,1
38463106,3,3,0,0,2,3,0,1,1
38483116,3,3,1,0,0,3,0,0,1
38483134,0,0,0,1,0,1,1,0,0
38523118,3,3,1,1,0,2,1,1,1
38523136,3,3,0,0,2,2,0,0,1
38543096,2,2,0,0,2,2,0,1,1
38543122,3,3,0,0,2,3,0,1,1
39123076,2,2,0,0,0,1,1,0,1
39223078,3,3,1,0,1,2,0,1,1
39583078,4,4,0,0,0,2,0,1,2
39603074,3,3,0,0,1,2,0,0,1
38283100,2,2,0,0,2,3,0,0,1
38563082,3,3,1,0,2,2,0,0,1
38583072,4,4,2,0,0,1,0,1,2
38583090,4,4,0,0,0,2,0,1,2
38603088,4,4,0,0,0,3,0,1,2
38723078,3,3,0,0,2,1,0,0,1
38843066,3,3,0,0,2,2,0,1,1
38863068,3,3,0,0,2,2,0,1,1
38943054,1,1,0,0,2,0,0,0,0
39003046,4,4,0,0,2,2,0,1,2
39063046,3,3,0,0,2,2,0,1,1
39083042,3,3,0,0,2,1,0,0,1
39263060,2,2,0,0,1,1,0,0,1
39283056,3,3,0,0,1,2,0,0,1
39303054,3,3,0,0,1,3,0,1,1
39763078,3,3,0,0,0,0,0,0,1
39783064,4,4,1,0,1,1,0,1,2
39883048,3,3,1,0,0,3,0,2,1
39943050,3,4,0,0,0,2,0,1,1
40103044,0,0,0,0,0,0,1,0,0
40203058,0,0,0,1,0,0,1,0,0
40243026,0,0,0,2,1,1,2,0,0
40363052,2,2,0,1,1,0,2,0,1
40383036,2,2,0,1,1,3,1,0,1
40423056,0,0,0,1,0,0,2,0,0
40603038,1,1,1,2,0,0,2,0,0
39622978,0,0,1,2,1,1,2,1,0
39663000,2,2,1,0,1,2,1,1,1
39702984,1,1,1,1,1,2,1,0,0
39862992,0,0,0,2,0,1,1,0,0
40043010,2,2,0,0,1,2,1,0,1
40062984,2,2,0,1,1,3,1,0,1
40082970,0,0,0,1,0,0,1,0,0
40163006,3,3,0,0,0,2,1,0,1
40203018,0,0,0,1,0,0,1,0,0
39303032,4,4,1,0,0,1,0,0,2
39363034,0,0,0,1,0,0,1,0,0
39383058,3,3,0,0,0,2,0,1,1
39443068,2,2,1,0,1,2,0,0,1
39483040,3,3,0,0,1,1,0,1,1
39483050,3,3,1,0,1,2,0,0,1
39523026,3,3,1,0,1,2,0,1,1
39523056,4,4,0,0,0,2,0,1,2
39583032,2,2,0,1,0,0,1,0,1
39602980,0,0,0,2,1,0,2,0,0
39642992,1,1,0,1,1,0,2,0,0
39663018,1,2,0,0,1,0,0,0,0
39663058,4,4,1,0,0,3,0,1,2
39663068,4,4,0,0,1,3,0,0,2
39743040,3,3,0,0,1,2,0,1,1
39803036,3,3,0,0,1,1,0,0,1
39823034,3,3,0,0,1,1,0,0,1
53162396,2,2,0,1,0,0,1,2,1
53182398,2,2,0,0,0,1,0,1,1
53242382,2,2,0,0,0,0,0,0,1
53302384,2,2,0,0,0,1,0,1,1
53322372,2,2,0,0,0,0,0,1,1
53322422,3,4,0,0,0,0,0,0,1
53342392,2,3,0,0,0,0,0,1,1
53422396,2,2,0,0,0,0,1,1,1
53442394,2,2,0,0,0,1,0,0,1
53462362,2,2,0,0,0,0,1,0,1
53462368,4,4,0,1,1,0,1,2,2
53482366,1,0,0,0,0,0,0,0,0
53482384,2,2,0,0,0,0,0,1,1
53482412,4,4,0,0,0,0,0,1,2
53502416,3,3,0,0,0,0,0,1,1
53542386,4,3,0,0,0,1,0,3,2
53622366,3,3,1,1,0,1,1,2,1
53662376,2,3,0,0,0,0,0,1,1
53662388,3,3,0,0,0,0,0,0,1
53702348,1,1,0,0,0,0,0,0,0
53702356,3,3,0,0,0,0,0,0,1
53782342,2,2,0,0,0,0,0,0,1
53782364,2,2,0,0,0,0,0,0,1
53782378,2,3,0,0,0,1,0,1,1
53802330,1,1,0,0,0,0,0,0,0
53802340,2,2,0,0,0,0,0,1,1
53802366,1,1,0,0,0,1,0,1,0
53822386,2,3,0,0,0,0,0,1,1
53842348,4,4,1,0,0,0,1,1,2
53882320,1,1,0,1,0,0,1,0,0
53902362,1,1,0,0,0,0,0,0,0
53922390,4,4,0,0,0,0,0,0,2
53942332,2,2,0,0,0,0,0,0,1
53942344,1,2,0,0,0,0,0,0,0
53942368,2,2,1,0,0,1,0,1,1
53982330,2,2,0,1,0,0,1,1,1
54002332,1,1,0,0,0,0,0,0,0
54002350,2,3,0,0,0,0,0,1,1
54062392,4,4,0,0,0,0,0,0,2
54082368,2,2,0,0,0,1,0,1,1
54122350,3,3,0,0,0,0,0,1,1
54122394,4,4,1,0,0,0,0,1,2
54142364,1,2,0,0,0,0,0,0,0
54222336,2,2,0,0,0,0,0,1,1
54262380,3,3,0,0,0,0,0,1,1
54322346,2,2,0,0,0,1,0,0,1
54322396,4,4,1,0,0,0,0,1,2
54402326,2,2,0,0,0,0,1,1,1
